Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
6564436,Fever Pitch,Nick Hornby,"Hornby, Nick",,"=""""","=""""",4,3.74,Riverhead,Kindle Edition,260,1998,1992,2019/05/20,2019/05/16,"non-fiction, sports, soccer, biographical","non-fiction (#5), sports (#16), soccer (#3), biographical (#8)",read,"Really nails what being an obsessive is like. (Parts of it describe me almost too perfectly.) I wonder if others will appreciate it as much as I did, especially people not into sports. There might be something in here for obsessives of all stripes.",,,1,,,0,,,,,
36247169,Educated,Tara Westover,"Westover, Tara",,"=""""","=""""",5,4.47,Random House,Kindle Edition,336,2018,2018,2019/11/12,2018/12/24,"non-fiction, biographical","non-fiction (#56), biographical (#7)",read,,,,1,,,0,,,,,
20706662,No Land's Man,Aasif Mandvi,"Mandvi, Aasif",,"=""1452107912""","=""9781452107912""",5,3.59,Chronicle Books,Hardcover,240,2014,2014,2015/01/10,2015/05/23,"non-fiction, biographical","non-fiction (#31), biographical (#2)",read,,,,1,,,1,,,unspecified,,
15798986,Whitey: The Life of America's Most Notorious Mob Boss,Gerard O'Neill,"O'Neill, Gerard",Dick Lehr,"=""0307986535""","=""9780307986535""",3,3.76,Crown,Hardcover,448,2013,2013,2015/10/26,2015/11/07,"non-fiction, american-history, biographical","non-fiction (#34), american-history (#3), biographical (#3)",read,,,,1,,,0,,,,,
22926604,Year of the Dunk: A Modest Defiance of Gravity,Asher  Price,"Price, Asher",,"=""0804138036""","=""9780804138031""",5,3.75,Crown,Hardcover,288,2015,2015,2015/05/23,2015/05/23,"non-fiction, sports, basketball, biographical","non-fiction (#30), sports (#7), basketball (#4), biographical (#1)",read,,,,1,,,1,,,unspecified,,
46136224,Uncanny Valley,Anna Wiener,"Wiener, Anna",,"=""""","=""""",3,3.77,MCD,Kindle Edition,279,2020,2020,2020/02/16,2020/01/12,"non-fiction, bay-area","non-fiction (#16), bay-area (#5)",read,,,,1,,,0,,,,,
36692478,There There,Tommy Orange,"Orange, Tommy",,"=""0525520376""","=""9780525520375""",5,3.98,Knopf,Hardcover,294,2018,2018,2019/04/29,2019/04/18,"fiction, bay-area","fiction (#1), bay-area (#4)",read,Great window into an ethnic group I don't think about often. Seemed like a lot of characters but each one gripped me and I was really emotionally invested in their stories. Put together I could see how certain issues are endemic in the Native American community. Learned a tiny bit of history too.,,,1,,,0,,,,,
36288143,Brotopia: Breaking Up the Boys' Club of Silicon Valley,Emily  Chang,"Chang, Emily",,"=""""","=""""",4,4.00,Portfolio,Kindle Edition,317,2018,2018,2019/04/17,2019/04/15,"non-fiction, bay-area","non-fiction (#4), bay-area (#3)",read,,,,1,,,0,,,,,
280411,Too Close to Call: The Thirty-Six-Day Battle to Decide the 2000 Election,Jeffrey Toobin,"Toobin, Jeffrey",,"=""0375761071""","=""9780375761072""",5,3.95,Random House Trade Paperbacks,Paperback,320,2002,2001,,2018/11/18,"non-fiction, american-history","non-fiction (#45), american-history (#7)",read,,,,1,,,0,,,,,
35131737,The Skies Belong to Us: Love and Terror in the Golden Age of Hijacking,Brendan I. Koerner,"Koerner, Brendan I.",,"=""""","=""""",5,4.01,Crown,Kindle Edition,336,2013,2013,2018/12/01,2018/11/30,"non-fiction, american-history","non-fiction (#50), american-history (#8)",read,,,,1,,,0,,,,,
22318476,"Boom Town: The Fantastical Saga of Oklahoma City, Its Chaotic Founding, Its Apocalyptic Weather, Its Purloined Basketball Team, and the Dream of Becoming a World-class Metropolis",Sam Anderson,"Anderson, Sam",,"=""0804137315""","=""9780804137317""",5,4.38,Crown,Hardcover,448,2018,2018,2018/12/19,2018/12/19,"non-fiction, sports, basketball, american-history","non-fiction (#53), sports (#13), basketball (#5), american-history (#9)",read,"Picked this up because of the passing mention of basketball on the cover. Put it down and didn’t want it to end. A fascinating biography of a city that I had never been curious about. So many memorable stories of OKC’s origins, aspirations and strife. Plus, the portion of the book about the basketball team (maybe 20%) is excellent. The Thunder are somehow a very apt metaphor for the city. Oftentimes the best sports writing comes from an outsider’s perspective.",,,1,,,0,,,,,
